Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,1,perfect_rag,64,Extraordinary mechanistic fidelity; explicitly details the complex pyrimidine cyclization and ring-opening required for arginine.
Arginine,1,2,deep_research_gpt5.4,59,"Highly accurate adherence to validated cyanosulfidic literature, with logical environmental transport."
Arginine,1,3,deep_research_claude,59,"Excellent integration of cyanosulfidic pathways with classical cyanamide guanylation, offering high redundancy."
Arginine,1,4,deep_research_gemini,57,"Strong systems-level thinking connecting hydrothermal NH3 to surface photochemistry, though slightly abstracted mechanisms."
Arginine,1,5,ms_disc,37,"Suffers from severe chemical unfeasibility (e.g., using free guanidine as an electrophile)."
Arginine,1,6,no_research,30,Falls into the prebiotic fallacy of directly mimicking the biological urea cycle without abiotic activating agents.
Arginine,2,1,perfect_rag,66/70,"Perfect carbon tracking, flawless mechanism, and exact adherence to complex literature."
Arginine,2,2,deep_research_gemini,42/70,"Good conceptual flow and pathway architecture, but marred by missing reagents in JSON inputs."
Arginine,2,3,deep_research_claude,37/70,"Interesting network design combining multiple paradigms, but suffers from fatal C1+C0=C3 math."
Arginine,2,4,deep_research_gpt5.4,30/70,Failed mass balance (C4+C1=C6) and magical transmutation of CO2+H2O to ammonia.
Arginine,2,5,no_research,24/70,Synthesizes amines without nitrogen inputs and misapplies basic Strecker chemistry.
Arginine,2,6,ms_disc,17/70,"Completely broken chemistry (backward electrophiles, C5 decarboxylation to C5, magic nitrogen)."
Arginine,3,1,perfect_rag,64,"Exceptional chemical rigor; flawlessly tracks a highly complex, literature-validated pathway without a single input/output error."
Arginine,3,2,deep_research_claude,55,Best integration of diverse hypotheses; combines cyanosulfidic homologation with direct ornithine guanylation and urea cycle analogs.
Arginine,3,3,deep_research_gpt5.4,48,"Solid foundation in cyanosulfidic chemistry, but penalized for missing a key sulfur reagent (H2S) in a thiolactam-forming step."
Arginine,3,4,deep_research_gemini,45,"Good conceptual macro-architecture, but missing HCN in key homologation reactions breaks the chemical chain elongation."
