Model,Molecule,Run,Config,Criterion,Score
claude_opus4.6,Arginine,1,deep_research_claude,Chemical Feasibility,4
claude_opus4.6,Arginine,1,deep_research_claude,Pathway Coherence,4
claude_opus4.6,Arginine,1,deep_research_claude,Environmental Consistency,7
claude_opus4.6,Arginine,1,deep_research_claude,Mechanistic Detail,6
claude_opus4.6,Arginine,1,deep_research_claude,Network Completeness,7
claude_opus4.6,Arginine,1,deep_research_claude,Prebiotic Plausibility,6
claude_opus4.6,Arginine,1,deep_research_claude,Novelty of Reactions,6
claude_opus4.6,Arginine,1,deep_research_gemini,Chemical Feasibility,7
claude_opus4.6,Arginine,1,deep_research_gemini,Pathway Coherence,8
claude_opus4.6,Arginine,1,deep_research_gemini,Environmental Consistency,8
claude_opus4.6,Arginine,1,deep_research_gemini,Mechanistic Detail,8
claude_opus4.6,Arginine,1,deep_research_gemini,Network Completeness,8
claude_opus4.6,Arginine,1,deep_research_gemini,Prebiotic Plausibility,8
claude_opus4.6,Arginine,1,deep_research_gemini,Novelty of Reactions,8
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Chemical Feasibility,4
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Pathway Coherence,4
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Environmental Consistency,7
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Mechanistic Detail,7
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Network Completeness,7
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Prebiotic Plausibility,6
claude_opus4.6,Arginine,1,deep_research_gpt5.4,Novelty of Reactions,7
claude_opus4.6,Arginine,1,ms_disc,Chemical Feasibility,9
claude_opus4.6,Arginine,1,ms_disc,Pathway Coherence,9
claude_opus4.6,Arginine,1,ms_disc,Environmental Consistency,8
claude_opus4.6,Arginine,1,ms_disc,Mechanistic Detail,9
claude_opus4.6,Arginine,1,ms_disc,Network Completeness,9
claude_opus4.6,Arginine,1,ms_disc,Prebiotic Plausibility,9
claude_opus4.6,Arginine,1,ms_disc,Novelty of Reactions,9
