Model,Molecule,Run,Config,Criterion,Score
claude_opus4.6,Arginine,1,ChatGPT Report,Chemical Feasibility,4
claude_opus4.6,Arginine,1,ChatGPT Report,Environmental Consistency,8
claude_opus4.6,Arginine,1,ChatGPT Report,Mechanistic Detail,6
claude_opus4.6,Arginine,1,ChatGPT Report,Network Completeness,7
claude_opus4.6,Arginine,1,ChatGPT Report,Novelty of Reactions,6
claude_opus4.6,Arginine,1,ChatGPT Report,Pathway Coherence,5
claude_opus4.6,Arginine,1,ChatGPT Report,Prebiotic Plausibility,6
claude_opus4.6,Arginine,2,ChatGPT Report,Chemical Feasibility,4
claude_opus4.6,Arginine,2,ChatGPT Report,Environmental Consistency,8
claude_opus4.6,Arginine,2,ChatGPT Report,Mechanistic Detail,6
claude_opus4.6,Arginine,2,ChatGPT Report,Network Completeness,8
claude_opus4.6,Arginine,2,ChatGPT Report,Novelty of Reactions,6
claude_opus4.6,Arginine,2,ChatGPT Report,Pathway Coherence,5
claude_opus4.6,Arginine,2,ChatGPT Report,Prebiotic Plausibility,7
claude_opus4.6,Arginine,3,ChatGPT Report,Chemical Feasibility,5
claude_opus4.6,Arginine,3,ChatGPT Report,Environmental Consistency,8
claude_opus4.6,Arginine,3,ChatGPT Report,Mechanistic Detail,7
claude_opus4.6,Arginine,3,ChatGPT Report,Network Completeness,8
claude_opus4.6,Arginine,3,ChatGPT Report,Novelty of Reactions,7
claude_opus4.6,Arginine,3,ChatGPT Report,Pathway Coherence,6
claude_opus4.6,Arginine,3,ChatGPT Report,Prebiotic Plausibility,6
claude_opus4.6,Arginine,4,ChatGPT Report,Chemical Feasibility,3
claude_opus4.6,Arginine,4,ChatGPT Report,Environmental Consistency,8
claude_opus4.6,Arginine,4,ChatGPT Report,Mechanistic Detail,4
claude_opus4.6,Arginine,4,ChatGPT Report,Network Completeness,8
claude_opus4.6,Arginine,4,ChatGPT Report,Novelty of Reactions,5
claude_opus4.6,Arginine,4,ChatGPT Report,Pathway Coherence,4
claude_opus4.6,Arginine,4,ChatGPT Report,Prebiotic Plausibility,5
claude_opus4.6,Arginine,5,ChatGPT Report,Chemical Feasibility,9
claude_opus4.6,Arginine,5,ChatGPT Report,Environmental Consistency,8
claude_opus4.6,Arginine,5,ChatGPT Report,Mechanistic Detail,8
claude_opus4.6,Arginine,5,ChatGPT Report,Network Completeness,9
claude_opus4.6,Arginine,5,ChatGPT Report,Novelty of Reactions,9
claude_opus4.6,Arginine,5,ChatGPT Report,Pathway Coherence,9
claude_opus4.6,Arginine,5,ChatGPT Report,Prebiotic Plausibility,8
gpt41,Arginine,1,ChatGPT Report,Chemical Feasibility,4
gpt41,Arginine,1,ChatGPT Report,Environmental Consistency,7
gpt41,Arginine,1,ChatGPT Report,Mechanistic Detail,5
gpt41,Arginine,1,ChatGPT Report,Network Completeness,7
gpt41,Arginine,1,ChatGPT Report,Novelty of Reactions,6
gpt41,Arginine,1,ChatGPT Report,Pathway Coherence,5
gpt41,Arginine,1,ChatGPT Report,Prebiotic Plausibility,6
gpt41,Arginine,2,ChatGPT Report,Chemical Feasibility,5
gpt41,Arginine,2,ChatGPT Report,Environmental Consistency,8
gpt41,Arginine,2,ChatGPT Report,Mechanistic Detail,6
gpt41,Arginine,2,ChatGPT Report,Network Completeness,5
gpt41,Arginine,2,ChatGPT Report,Novelty of Reactions,7
gpt41,Arginine,2,ChatGPT Report,Pathway Coherence,5
gpt41,Arginine,2,ChatGPT Report,Prebiotic Plausibility,6
gpt41,Arginine,3,ChatGPT Report,Chemical Feasibility,8
gpt41,Arginine,3,ChatGPT Report,Environmental Consistency,9
gpt41,Arginine,3,ChatGPT Report,Mechanistic Detail,8
gpt41,Arginine,3,ChatGPT Report,Network Completeness,8
gpt41,Arginine,3,ChatGPT Report,Novelty of Reactions,8
gpt41,Arginine,3,ChatGPT Report,Pathway Coherence,8
gpt41,Arginine,3,ChatGPT Report,Prebiotic Plausibility,8
gpt41,Arginine,4,ChatGPT Report,Chemical Feasibility,3
gpt41,Arginine,4,ChatGPT Report,Environmental Consistency,6
gpt41,Arginine,4,ChatGPT Report,Mechanistic Detail,3
gpt41,Arginine,4,ChatGPT Report,Network Completeness,5
gpt41,Arginine,4,ChatGPT Report,Novelty of Reactions,4
gpt41,Arginine,4,ChatGPT Report,Pathway Coherence,4
gpt41,Arginine,4,ChatGPT Report,Prebiotic Plausibility,4
gpt41,Arginine,5,ChatGPT Report,Chemical Feasibility,4
gpt41,Arginine,5,ChatGPT Report,Environmental Consistency,8
gpt41,Arginine,5,ChatGPT Report,Mechanistic Detail,7
gpt41,Arginine,5,ChatGPT Report,Network Completeness,7
gpt41,Arginine,5,ChatGPT Report,Novelty of Reactions,6
gpt41,Arginine,5,ChatGPT Report,Pathway Coherence,5
gpt41,Arginine,5,ChatGPT Report,Prebiotic Plausibility,6
gpt5.4,Arginine,1,ChatGPT Report,Chemical Feasibility,9
gpt5.4,Arginine,1,ChatGPT Report,Environmental Consistency,8
gpt5.4,Arginine,1,ChatGPT Report,Mechanistic Detail,8
gpt5.4,Arginine,1,ChatGPT Report,Network Completeness,7
gpt5.4,Arginine,1,ChatGPT Report,Novelty of Reactions,5
gpt5.4,Arginine,1,ChatGPT Report,Pathway Coherence,8
gpt5.4,Arginine,1,ChatGPT Report,Prebiotic Plausibility,9
gpt5.4,Arginine,2,ChatGPT Report,Chemical Feasibility,9
gpt5.4,Arginine,2,ChatGPT Report,Environmental Consistency,8
gpt5.4,Arginine,2,ChatGPT Report,Mechanistic Detail,8
gpt5.4,Arginine,2,ChatGPT Report,Network Completeness,7
gpt5.4,Arginine,2,ChatGPT Report,Novelty of Reactions,5
gpt5.4,Arginine,2,ChatGPT Report,Pathway Coherence,8
gpt5.4,Arginine,2,ChatGPT Report,Prebiotic Plausibility,9
gpt5.4,Arginine,3,ChatGPT Report,Chemical Feasibility,8
gpt5.4,Arginine,3,ChatGPT Report,Environmental Consistency,8
gpt5.4,Arginine,3,ChatGPT Report,Mechanistic Detail,8
gpt5.4,Arginine,3,ChatGPT Report,Network Completeness,7
gpt5.4,Arginine,3,ChatGPT Report,Novelty of Reactions,7
gpt5.4,Arginine,3,ChatGPT Report,Pathway Coherence,8
gpt5.4,Arginine,3,ChatGPT Report,Prebiotic Plausibility,8
gpt5.4,Arginine,4,ChatGPT Report,Chemical Feasibility,8
gpt5.4,Arginine,4,ChatGPT Report,Environmental Consistency,8
gpt5.4,Arginine,4,ChatGPT Report,Mechanistic Detail,8
gpt5.4,Arginine,4,ChatGPT Report,Network Completeness,7
gpt5.4,Arginine,4,ChatGPT Report,Novelty of Reactions,6
gpt5.4,Arginine,4,ChatGPT Report,Pathway Coherence,8
gpt5.4,Arginine,4,ChatGPT Report,Prebiotic Plausibility,8
gpt5.4,Arginine,5,ChatGPT Report,Chemical Feasibility,8
gpt5.4,Arginine,5,ChatGPT Report,Environmental Consistency,8
gpt5.4,Arginine,5,ChatGPT Report,Mechanistic Detail,8
gpt5.4,Arginine,5,ChatGPT Report,Network Completeness,7
gpt5.4,Arginine,5,ChatGPT Report,Novelty of Reactions,7
gpt5.4,Arginine,5,ChatGPT Report,Pathway Coherence,7
gpt5.4,Arginine,5,ChatGPT Report,Prebiotic Plausibility,8
claude_opus4.6,Arginine,1,Claude Report,Chemical Feasibility,9
claude_opus4.6,Arginine,1,Claude Report,Environmental Consistency,9
claude_opus4.6,Arginine,1,Claude Report,Mechanistic Detail,8
claude_opus4.6,Arginine,1,Claude Report,Network Completeness,9
claude_opus4.6,Arginine,1,Claude Report,Novelty of Reactions,8
claude_opus4.6,Arginine,1,Claude Report,Pathway Coherence,9
claude_opus4.6,Arginine,1,Claude Report,Prebiotic Plausibility,9
claude_opus4.6,Arginine,2,Claude Report,Chemical Feasibility,3
claude_opus4.6,Arginine,2,Claude Report,Environmental Consistency,7
claude_opus4.6,Arginine,2,Claude Report,Mechanistic Detail,5
claude_opus4.6,Arginine,2,Claude Report,Network Completeness,6
claude_opus4.6,Arginine,2,Claude Report,Novelty of Reactions,4
claude_opus4.6,Arginine,2,Claude Report,Pathway Coherence,4
claude_opus4.6,Arginine,2,Claude Report,Prebiotic Plausibility,5
claude_opus4.6,Arginine,3,Claude Report,Chemical Feasibility,6
claude_opus4.6,Arginine,3,Claude Report,Environmental Consistency,9
claude_opus4.6,Arginine,3,Claude Report,Mechanistic Detail,8
claude_opus4.6,Arginine,3,Claude Report,Network Completeness,9
claude_opus4.6,Arginine,3,Claude Report,Novelty of Reactions,7
claude_opus4.6,Arginine,3,Claude Report,Pathway Coherence,7
