Molecule,Run,Config,Criterion,Score
Arginine,1,A,Chemical Feasibility,4
Arginine,1,A,Pathway Coherence,4
Arginine,1,A,Environmental Consistency,7
Arginine,1,A,Mechanistic Detail,6
Arginine,1,A,Network Completeness,7
Arginine,1,A,Prebiotic Plausibility,6
Arginine,1,A,Novelty of Reactions,6
Arginine,1,A,Total,40
Arginine,1,B,Chemical Feasibility,7
Arginine,1,B,Pathway Coherence,8
Arginine,1,B,Environmental Consistency,8
Arginine,1,B,Mechanistic Detail,8
Arginine,1,B,Network Completeness,8
Arginine,1,B,Prebiotic Plausibility,8
Arginine,1,B,Novelty of Reactions,8
Arginine,1,B,Total,55
Arginine,1,C,Chemical Feasibility,4
Arginine,1,C,Pathway Coherence,4
Arginine,1,C,Environmental Consistency,7
Arginine,1,C,Mechanistic Detail,7
Arginine,1,C,Network Completeness,7
Arginine,1,C,Prebiotic Plausibility,6
Arginine,1,C,Novelty of Reactions,7
Arginine,1,C,Total,42
Arginine,1,D,Chemical Feasibility,9
Arginine,1,D,Pathway Coherence,9
Arginine,1,D,Environmental Consistency,8
Arginine,1,D,Mechanistic Detail,9
Arginine,1,D,Network Completeness,9
Arginine,1,D,Prebiotic Plausibility,9
Arginine,1,D,Novelty of Reactions,9
Arginine,1,D,Total,62
Arginine,1,E,Chemical Feasibility,9
Arginine,1,E,Pathway Coherence,10
Arginine,1,E,Environmental Consistency,9
Arginine,1,E,Mechanistic Detail,10
Arginine,1,E,Network Completeness,9
Arginine,1,E,Prebiotic Plausibility,10
Arginine,1,E,Novelty of Reactions,8
Arginine,1,E,Total,65
Arginine,1,F,Chemical Feasibility,10
Arginine,1,F,Pathway Coherence,10
Arginine,1,F,Environmental Consistency,9
Arginine,1,F,Mechanistic Detail,9
Arginine,1,F,Network Completeness,10
Arginine,1,F,Prebiotic Plausibility,10
Arginine,1,F,Novelty of Reactions,10
Arginine,1,F,Total,68
Arginine,2,A,Chemical Feasibility,3
Arginine,2,A,Pathway Coherence,4
Arginine,2,A,Environmental Consistency,7
Arginine,2,A,Mechanistic Detail,5
Arginine,2,A,Network Completeness,7
Arginine,2,A,Prebiotic Plausibility,5
Arginine,2,A,Novelty of Reactions,5
