Molecule,Run,Config,Criterion,Score
Arginine,1,A,Chemical Feasibility,8
Arginine,1,A,Pathway Coherence,7
Arginine,1,A,Environmental Consistency,8
Arginine,1,A,Mechanistic Detail,7
Arginine,1,A,Network Completeness,8
Arginine,1,A,Prebiotic Plausibility,8
Arginine,1,A,Novelty of Reactions,7
Arginine,1,A,Total,53
Arginine,1,B,Chemical Feasibility,9
Arginine,1,B,Pathway Coherence,9
Arginine,1,B,Environmental Consistency,9
Arginine,1,B,Mechanistic Detail,8
Arginine,1,B,Network Completeness,9
Arginine,1,B,Prebiotic Plausibility,9
Arginine,1,B,Novelty of Reactions,9
Arginine,1,B,Total,62
Arginine,1,C,Chemical Feasibility,9
Arginine,1,C,Pathway Coherence,8
Arginine,1,C,Environmental Consistency,8
Arginine,1,C,Mechanistic Detail,7
Arginine,1,C,Network Completeness,7
Arginine,1,C,Prebiotic Plausibility,9
Arginine,1,C,Novelty of Reactions,4
Arginine,1,C,Total,52
Arginine,1,D,Chemical Feasibility,4
Arginine,1,D,Pathway Coherence,6
Arginine,1,D,Environmental Consistency,6
Arginine,1,D,Mechanistic Detail,4
Arginine,1,D,Network Completeness,7
Arginine,1,D,Prebiotic Plausibility,4
Arginine,1,D,Novelty of Reactions,6
Arginine,1,D,Total,37
Arginine,1,E,Chemical Feasibility,10
Arginine,1,E,Pathway Coherence,9
Arginine,1,E,Environmental Consistency,8
Arginine,1,E,Mechanistic Detail,10
Arginine,1,E,Network Completeness,8
Arginine,1,E,Prebiotic Plausibility,9
Arginine,1,E,Novelty of Reactions,7
Arginine,1,E,Total,61
Arginine,1,F,Chemical Feasibility,3
Arginine,1,F,Pathway Coherence,8
Arginine,1,F,Environmental Consistency,7
Arginine,1,F,Mechanistic Detail,6
Arginine,1,F,Network Completeness,8
Arginine,1,F,Prebiotic Plausibility,3
Arginine,1,F,Novelty of Reactions,8
Arginine,1,F,Total,43
Arginine,2,A,Chemical Feasibility,9
Arginine,2,A,Pathway Coherence,8
Arginine,2,A,Environmental Consistency,9
Arginine,2,A,Mechanistic Detail,8
Arginine,2,A,Network Completeness,9
Arginine,2,A,Prebiotic Plausibility,9
Arginine,2,A,Novelty of Reactions,8
Arginine,2,A,Total,60
Arginine,2,B,Chemical Feasibility,9
Arginine,2,B,Pathway Coherence,10
Arginine,2,B,Environmental Consistency,9
Arginine,2,B,Mechanistic Detail,10
Arginine,2,B,Network Completeness,9
Arginine,2,B,Prebiotic Plausibility,9
Arginine,2,B,Novelty of Reactions,9
Arginine,2,B,Total,65
Arginine,2,C,Chemical Feasibility,9
Arginine,2,C,Pathway Coherence,8
Arginine,2,C,Environmental Consistency,8
Arginine,2,C,Mechanistic Detail,8
Arginine,2,C,Network Completeness,7
Arginine,2,C,Prebiotic Plausibility,9
Arginine,2,C,Novelty of Reactions,7
Arginine,2,C,Total,56
Arginine,2,D,Chemical Feasibility,5
Arginine,2,D,Pathway Coherence,5
Arginine,2,D,Environmental Consistency,7
Arginine,2,D,Mechanistic Detail,4
Arginine,2,D,Network Completeness,6
Arginine,2,D,Prebiotic Plausibility,4
Arginine,2,D,Novelty of Reactions,5
Arginine,2,D,Total,36
Arginine,2,E,Chemical Feasibility,10
Arginine,2,E,Pathway Coherence,10
Arginine,2,E,Environmental Consistency,7
Arginine,2,E,Mechanistic Detail,10
Arginine,2,E,Network Completeness,8
Arginine,2,E,Prebiotic Plausibility,10
Arginine,2,E,Novelty of Reactions,8
Arginine,2,E,Total,63
Arginine,2,F,Chemical Feasibility,3
Arginine,2,F,Pathway Coherence,5
Arginine,2,F,Environmental Consistency,6
Arginine,2,F,Mechanistic Detail,4
Arginine,2,F,Network Completeness,6
Arginine,2,F,Prebiotic Plausibility,3
Arginine,2,F,Novelty of Reactions,6
Arginine,2,F,Total,33
Arginine,3,A,Chemical Feasibility,9
Arginine,3,A,Pathway Coherence,9
Arginine,3,A,Environmental Consistency,9
Arginine,3,A,Mechanistic Detail,8
Arginine,3,A,Network Completeness,9
Arginine,3,A,Prebiotic Plausibility,9
Arginine,3,A,Novelty of Reactions,9
Arginine,3,A,Total,62
Arginine,3,B,Chemical Feasibility,10
Arginine,3,B,Pathway Coherence,10
Arginine,3,B,Environmental Consistency,9
Arginine,3,B,Mechanistic Detail,10
Arginine,3,B,Network Completeness,10
Arginine,3,B,Prebiotic Plausibility,10
Arginine,3,B,Novelty of Reactions,9
Arginine,3,B,Total,68
Arginine,3,C,Chemical Feasibility,9
Arginine,3,C,Pathway Coherence,8
Arginine,3,C,Environmental Consistency,8
Arginine,3,C,Mechanistic Detail,8
Arginine,3,C,Network Completeness,7
Arginine,3,C,Prebiotic Plausibility,9
Arginine,3,C,Novelty of Reactions,7
Arginine,3,C,Total,56
Arginine,3,D,Chemical Feasibility,4
Arginine,3,D,Pathway Coherence,7
Arginine,3,D,Environmental Consistency,8
Arginine,3,D,Mechanistic Detail,5
Arginine,3,D,Network Completeness,7
Arginine,3,D,Prebiotic Plausibility,4
Arginine,3,D,Novelty of Reactions,6
Arginine,3,D,Total,41
Arginine,3,E,Chemical Feasibility,10
Arginine,3,E,Pathway Coherence,9
Arginine,3,E,Environmental Consistency,9
Arginine,3,E,Mechanistic Detail,10
Arginine,3,E,Network Completeness,8
Arginine,3,E,Prebiotic Plausibility,10
Arginine,3,E,Novelty of Reactions,8
Arginine,3,E,Total,64
Arginine,3,F,Chemical Feasibility,6
Arginine,3,F,Pathway Coherence,9
Arginine,3,F,Environmental Consistency,8
Arginine,3,F,Mechanistic Detail,8
Arginine,3,F,Network Completeness,9
Arginine,3,F,Prebiotic Plausibility,5
Arginine,3,F,Novelty of Reactions,10
Arginine,3,F,Total,55
Arginine,4,A,Chemical Feasibility,7
Arginine,4,A,Pathway Coherence,6
Arginine,4,A,Environmental Consistency,8
Arginine,4,A,Mechanistic Detail,6
Arginine,4,A,Network Completeness,6
Arginine,4,A,Prebiotic Plausibility,8
Arginine,4,A,Novelty of Reactions,6
Arginine,4,A,Total,47
Arginine,4,B,Chemical Feasibility,9
Arginine,4,B,Pathway Coherence,9
Arginine,4,B,Environmental Consistency,9
Arginine,4,B,Mechanistic Detail,9
Arginine,4,B,Network Completeness,9
Arginine,4,B,Prebiotic Plausibility,9
Arginine,4,B,Novelty of Reactions,8
Arginine,4,B,Total,62
Arginine,4,C,Chemical Feasibility,8
Arginine,4,C,Pathway Coherence,8
Arginine,4,C,Environmental Consistency,8
Arginine,4,C,Mechanistic Detail,7
Arginine,4,C,Network Completeness,7
Arginine,4,C,Prebiotic Plausibility,8
Arginine,4,C,Novelty of Reactions,6
Arginine,4,C,Total,52
Arginine,4,D,Chemical Feasibility,4
Arginine,4,D,Pathway Coherence,5
Arginine,4,D,Environmental Consistency,7
Arginine,4,D,Mechanistic Detail,4
Arginine,4,D,Network Completeness,6
Arginine,4,D,Prebiotic Plausibility,4
Arginine,4,D,Novelty of Reactions,4
Arginine,4,D,Total,34
Arginine,4,E,Chemical Feasibility,9
Arginine,4,E,Pathway Coherence,9
Arginine,4,E,Environmental Consistency,8
Arginine,4,E,Mechanistic Detail,10
Arginine,4,E,Network Completeness,8
Arginine,4,E,Prebiotic Plausibility,9
Arginine,4,E,Novelty of Reactions,7
Arginine,4,E,Total,60
Arginine,4,F,Chemical Feasibility,3
Arginine,4,F,Pathway Coherence,6
Arginine,4,F,Environmental Consistency,6
Arginine,4,F,Mechanistic Detail,4
Arginine,4,F,Network Completeness,5
Arginine,4,F,Prebiotic Plausibility,2
Arginine,4,F,Novelty of Reactions,3
Arginine,4,F,Total,29
Arginine,5,A,Chemical Feasibility,7
Arginine,5,A,Pathway Coherence,8
Arginine,5,A,Environmental Consistency,9
Arginine,5,A,Mechanistic Detail,7
Arginine,5,A,Network Completeness,9
Arginine,5,A,Prebiotic Plausibility,9
Arginine,5,A,Novelty of Reactions,8
Arginine,5,A,Total,57
Arginine,5,B,Chemical Feasibility,4
Arginine,5,B,Pathway Coherence,7
Arginine,5,B,Environmental Consistency,8
Arginine,5,B,Mechanistic Detail,8
Arginine,5,B,Network Completeness,7
Arginine,5,B,Prebiotic Plausibility,7
Arginine,5,B,Novelty of Reactions,8
Arginine,5,B,Total,49
Arginine,5,C,Chemical Feasibility,8
Arginine,5,C,Pathway Coherence,8
Arginine,5,C,Environmental Consistency,9
Arginine,5,C,Mechanistic Detail,9
Arginine,5,C,Network Completeness,7
Arginine,5,C,Prebiotic Plausibility,9
Arginine,5,C,Novelty of Reactions,8
Arginine,5,C,Total,58
Arginine,5,D,Chemical Feasibility,4
Arginine,5,D,Pathway Coherence,6
Arginine,5,D,Environmental Consistency,6
Arginine,5,D,Mechanistic Detail,5
Arginine,5,D,Network Completeness,6
Arginine,5,D,Prebiotic Plausibility,4
Arginine,5,D,Novelty of Reactions,5
Arginine,5,D,Total,36
