Molecule,Run,Config,Criterion,Score
Arginine,1,A,Chemical Feasibility,3
Arginine,1,A,Pathway Coherence,4
Arginine,1,A,Environmental Consistency,6
Arginine,1,A,Mechanistic Detail,4
Arginine,1,A,Network Completeness,6
Arginine,1,A,Prebiotic Plausibility,4
Arginine,1,A,Novelty of Reactions,6
Arginine,1,A,Total,33
Arginine,1,B,Chemical Feasibility,6
Arginine,1,B,Pathway Coherence,3
Arginine,1,B,Environmental Consistency,7
Arginine,1,B,Mechanistic Detail,7
Arginine,1,B,Network Completeness,6
Arginine,1,B,Prebiotic Plausibility,6
Arginine,1,B,Novelty of Reactions,5
Arginine,1,B,Total,40
Arginine,1,C,Chemical Feasibility,7
Arginine,1,C,Pathway Coherence,8
Arginine,1,C,Environmental Consistency,9
Arginine,1,C,Mechanistic Detail,7
Arginine,1,C,Network Completeness,9
Arginine,1,C,Prebiotic Plausibility,8
Arginine,1,C,Novelty of Reactions,9
Arginine,1,C,Total,57
Arginine,1,D,Chemical Feasibility,2
Arginine,1,D,Pathway Coherence,3
Arginine,1,D,Environmental Consistency,5
Arginine,1,D,Mechanistic Detail,3
Arginine,1,D,Network Completeness,5
Arginine,1,D,Prebiotic Plausibility,2
Arginine,1,D,Novelty of Reactions,4
Arginine,1,D,Total,24
Arginine,1,E,Chemical Feasibility,10
Arginine,1,E,Pathway Coherence,10
Arginine,1,E,Environmental Consistency,9
Arginine,1,E,Mechanistic Detail,10
Arginine,1,E,Network Completeness,7
Arginine,1,E,Prebiotic Plausibility,10
Arginine,1,E,Novelty of Reactions,5
Arginine,1,E,Total,61
Arginine,1,F,Chemical Feasibility,4
Arginine,1,F,Pathway Coherence,5
Arginine,1,F,Environmental Consistency,8
Arginine,1,F,Mechanistic Detail,5
Arginine,1,F,Network Completeness,7
Arginine,1,F,Prebiotic Plausibility,5
Arginine,1,F,Novelty of Reactions,8
Arginine,1,F,Total,42
Arginine,2,A,Chemical Feasibility,3
Arginine,2,A,Pathway Coherence,5
Arginine,2,A,Environmental Consistency,5
Arginine,2,A,Mechanistic Detail,4
Arginine,2,A,Network Completeness,6
Arginine,2,A,Prebiotic Plausibility,4
Arginine,2,A,Novelty of Reactions,7
Arginine,2,A,Total,34
Arginine,2,B,Chemical Feasibility,5
Arginine,2,B,Pathway Coherence,7
Arginine,2,B,Environmental Consistency,8
Arginine,2,B,Mechanistic Detail,6
Arginine,2,B,Network Completeness,6
Arginine,2,B,Prebiotic Plausibility,6
Arginine,2,B,Novelty of Reactions,7
Arginine,2,B,Total,45
Arginine,2,C,Chemical Feasibility,6
Arginine,2,C,Pathway Coherence,8
Arginine,2,C,Environmental Consistency,9
Arginine,2,C,Mechanistic Detail,4
Arginine,2,C,Network Completeness,8
Arginine,2,C,Prebiotic Plausibility,7
Arginine,2,C,Novelty of Reactions,8
Arginine,2,C,Total,50
Arginine,2,D,Chemical Feasibility,2
Arginine,2,D,Pathway Coherence,4
Arginine,2,D,Environmental Consistency,6
Arginine,2,D,Mechanistic Detail,3
Arginine,2,D,Network Completeness,5
Arginine,2,D,Prebiotic Plausibility,3
Arginine,2,D,Novelty of Reactions,5
Arginine,2,D,Total,28
Arginine,2,E,Chemical Feasibility,10
Arginine,2,E,Pathway Coherence,9
Arginine,2,E,Environmental Consistency,9
Arginine,2,E,Mechanistic Detail,10
Arginine,2,E,Network Completeness,7
Arginine,2,E,Prebiotic Plausibility,9
Arginine,2,E,Novelty of Reactions,6
Arginine,2,E,Total,60
Arginine,2,F,Chemical Feasibility,3
Arginine,2,F,Pathway Coherence,5
Arginine,2,F,Environmental Consistency,7
Arginine,2,F,Mechanistic Detail,4
Arginine,2,F,Network Completeness,7
Arginine,2,F,Prebiotic Plausibility,4
Arginine,2,F,Novelty of Reactions,6
Arginine,2,F,Total,36
Arginine,3,A,Chemical Feasibility,4
Arginine,3,A,Pathway Coherence,5
Arginine,3,A,Environmental Consistency,7
Arginine,3,A,Mechanistic Detail,5
Arginine,3,A,Network Completeness,7
Arginine,3,A,Prebiotic Plausibility,6
Arginine,3,A,Novelty of Reactions,7
Arginine,3,A,Total,41
Arginine,3,B,Chemical Feasibility,9
Arginine,3,B,Pathway Coherence,9
Arginine,3,B,Environmental Consistency,8
Arginine,3,B,Mechanistic Detail,8
Arginine,3,B,Network Completeness,8
Arginine,3,B,Prebiotic Plausibility,9
Arginine,3,B,Novelty of Reactions,7
Arginine,3,B,Total,58
Arginine,3,C,Chemical Feasibility,8
Arginine,3,C,Pathway Coherence,8
Arginine,3,C,Environmental Consistency,8
Arginine,3,C,Mechanistic Detail,7
Arginine,3,C,Network Completeness,8
Arginine,3,C,Prebiotic Plausibility,8
Arginine,3,C,Novelty of Reactions,9
Arginine,3,C,Total,56
Arginine,3,D,Chemical Feasibility,2
Arginine,3,D,Pathway Coherence,3
Arginine,3,D,Environmental Consistency,6
Arginine,3,D,Mechanistic Detail,3
Arginine,3,D,Network Completeness,5
Arginine,3,D,Prebiotic Plausibility,3
Arginine,3,D,Novelty of Reactions,4
Arginine,3,D,Total,26
Arginine,3,E,Chemical Feasibility,10
Arginine,3,E,Pathway Coherence,10
Arginine,3,E,Environmental Consistency,9
Arginine,3,E,Mechanistic Detail,10
Arginine,3,E,Network Completeness,9
Arginine,3,E,Prebiotic Plausibility,10
Arginine,3,E,Novelty of Reactions,8
Arginine,3,E,Total,66
Arginine,3,F,Chemical Feasibility,3
Arginine,3,F,Pathway Coherence,4
Arginine,3,F,Environmental Consistency,6
Arginine,3,F,Mechanistic Detail,4
Arginine,3,F,Network Completeness,5
Arginine,3,F,Prebiotic Plausibility,4
Arginine,3,F,Novelty of Reactions,6
Arginine,3,F,Total,32
Arginine,4,A,Chemical Feasibility,2
Arginine,4,A,Pathway Coherence,3
Arginine,4,A,Environmental Consistency,5
Arginine,4,A,Mechanistic Detail,3
Arginine,4,A,Network Completeness,6
Arginine,4,A,Prebiotic Plausibility,3
Arginine,4,A,Novelty of Reactions,4
Arginine,4,A,Total,26
Arginine,4,B,Chemical Feasibility,6
Arginine,4,B,Pathway Coherence,5
Arginine,4,B,Environmental Consistency,8
Arginine,4,B,Mechanistic Detail,7
Arginine,4,B,Network Completeness,8
Arginine,4,B,Prebiotic Plausibility,7
Arginine,4,B,Novelty of Reactions,7
Arginine,4,B,Total,48
Arginine,4,C,Chemical Feasibility,5
Arginine,4,C,Pathway Coherence,7
Arginine,4,C,Environmental Consistency,8
Arginine,4,C,Mechanistic Detail,4
Arginine,4,C,Network Completeness,8
Arginine,4,C,Prebiotic Plausibility,6
Arginine,4,C,Novelty of Reactions,8
Arginine,4,C,Total,46
