model,molecule,config,iteration,recall,precision,recall_x10,novelty_1minusprecision_x10,count_total
Claude Opus 4.6,Arginine,ChatGPT Report,1,0.2677,0.18,2.677,8.2,12
Claude Opus 4.6,Arginine,ChatGPT Report,2,0.2715,0.2,2.715,8.0,12
Claude Opus 4.6,Arginine,ChatGPT Report,3,0.356,0.25,3.56,7.5,12
Claude Opus 4.6,Glutamate,ChatGPT Report,1,0.5099,0.33,5.099,6.7,11
Claude Opus 4.6,Glutamate,ChatGPT Report,2,0.5127,0.35,5.127,6.5,11
Claude Opus 4.6,Glutamate,ChatGPT Report,3,0.4926,0.33,4.926,6.7,11
Claude Opus 4.6,Glycine,ChatGPT Report,1,0.3698,0.29,3.698,7.1,12
Claude Opus 4.6,Glycine,ChatGPT Report,2,0.3698,0.32,3.698,6.8,12
Claude Opus 4.6,Glycine,ChatGPT Report,3,0.3698,0.31,3.698,6.9,12
Claude Opus 4.6,L-Alanine,ChatGPT Report,1,0.3199,0.29,3.199,7.1,8
Claude Opus 4.6,L-Alanine,ChatGPT Report,2,0.326,0.21,3.26,7.9,8
Claude Opus 4.6,L-Alanine,ChatGPT Report,3,0.309,0.23,3.09,7.7,8
Claude Opus 4.6,L-Proline,ChatGPT Report,1,0.0975,0.09,0.975,9.1,5
Claude Opus 4.6,L-Proline,ChatGPT Report,2,0.0773,0.05,0.773,9.5,5
Claude Opus 4.6,L-Proline,ChatGPT Report,3,0.0841,0.06,0.841,9.4,5
Claude Opus 4.6,Serine,ChatGPT Report,1,0.8667,0.24,8.667,7.6,3
Claude Opus 4.6,Serine,ChatGPT Report,2,0.62,0.21,6.2,7.9,3
Claude Opus 4.6,Serine,ChatGPT Report,3,0.62,0.18,6.2,8.2,3
Claude Opus 4.6,Threonine,ChatGPT Report,1,0.4674,0.25,4.674,7.5,4
Claude Opus 4.6,Threonine,ChatGPT Report,2,0.491,0.25,4.91,7.5,4
Claude Opus 4.6,Threonine,ChatGPT Report,3,0.491,0.26,4.91,7.4,4
Claude Opus 4.6,Valine,ChatGPT Report,1,0.3687,0.2,3.687,8.0,8
Claude Opus 4.6,Valine,ChatGPT Report,2,0.6674,0.35,6.674,6.5,8
Claude Opus 4.6,Valine,ChatGPT Report,3,0.6798,0.32,6.798,6.8,8
Claude Opus 4.6,Arginine,Claude Report,1,0.2888,0.2,2.888,8.0,12
Claude Opus 4.6,Arginine,Claude Report,2,0.2909,0.2,2.909,8.0,12
Claude Opus 4.6,Arginine,Claude Report,3,0.2984,0.23,2.984,7.7,12
Claude Opus 4.6,Glutamate,Claude Report,1,0.1978,0.23,1.978,7.7,11
Claude Opus 4.6,Glutamate,Claude Report,2,0.1913,0.18,1.913,8.2,11
Claude Opus 4.6,Glutamate,Claude Report,3,0.437,0.34,4.37,6.6,11
Claude Opus 4.6,Glycine,Claude Report,1,0.3212,0.27,3.212,7.3,12
Claude Opus 4.6,Glycine,Claude Report,2,0.4239,0.33,4.239,6.7,12
Claude Opus 4.6,L-Alanine,Claude Report,1,0.3389,0.24,3.389,7.6,8
