Molecule,Run,Config,Criterion,Score
Arginine,1,A,Chemical Feasibility,4
Arginine,1,A,Pathway Coherence,5
Arginine,1,A,Environmental Consistency,6
Arginine,1,A,Mechanistic Detail,6
Arginine,1,A,Network Completeness,5
Arginine,1,A,Prebiotic Plausibility,6
Arginine,1,A,Novelty of Reactions,6
Arginine,1,A,Total,38
Arginine,1,B,Chemical Feasibility,3
Arginine,1,B,Pathway Coherence,4
Arginine,1,B,Environmental Consistency,5
Arginine,1,B,Mechanistic Detail,4
Arginine,1,B,Network Completeness,6
Arginine,1,B,Prebiotic Plausibility,4
Arginine,1,B,Novelty of Reactions,4
Arginine,1,B,Total,30
Arginine,1,C,Chemical Feasibility,2
Arginine,1,C,Pathway Coherence,3
Arginine,1,C,Environmental Consistency,6
Arginine,1,C,Mechanistic Detail,4
Arginine,1,C,Network Completeness,5
Arginine,1,C,Prebiotic Plausibility,4
Arginine,1,C,Novelty of Reactions,4
Arginine,1,C,Total,28
Arginine,1,D,Chemical Feasibility,3
Arginine,1,D,Pathway Coherence,5
Arginine,1,D,Environmental Consistency,6
Arginine,1,D,Mechanistic Detail,5
Arginine,1,D,Network Completeness,7
Arginine,1,D,Prebiotic Plausibility,4
Arginine,1,D,Novelty of Reactions,5
Arginine,1,D,Total,35
Arginine,1,E,Chemical Feasibility,9
Arginine,1,E,Pathway Coherence,7
Arginine,1,E,Environmental Consistency,8
Arginine,1,E,Mechanistic Detail,9
Arginine,1,E,Network Completeness,4
Arginine,1,E,Prebiotic Plausibility,9
Arginine,1,E,Novelty of Reactions,9
Arginine,1,E,Total,55
Arginine,1,F,Chemical Feasibility,3
Arginine,1,F,Pathway Coherence,4
Arginine,1,F,Environmental Consistency,6
Arginine,1,F,Mechanistic Detail,4
Arginine,1,F,Network Completeness,7
Arginine,1,F,Prebiotic Plausibility,4
Arginine,1,F,Novelty of Reactions,4
Arginine,1,F,Total,32
Arginine,2,A,Chemical Feasibility,3
Arginine,2,A,Pathway Coherence,3
Arginine,2,A,Environmental Consistency,5
Arginine,2,A,Mechanistic Detail,4
Arginine,2,A,Network Completeness,5
Arginine,2,A,Prebiotic Plausibility,4
Arginine,2,A,Novelty of Reactions,5
Arginine,2,A,Total,29
Arginine,2,B,Chemical Feasibility,3
Arginine,2,B,Pathway Coherence,4
Arginine,2,B,Environmental Consistency,5
Arginine,2,B,Mechanistic Detail,4
Arginine,2,B,Network Completeness,6
Arginine,2,B,Prebiotic Plausibility,4
Arginine,2,B,Novelty of Reactions,5
Arginine,2,B,Total,31
Arginine,2,C,Chemical Feasibility,4
Arginine,2,C,Pathway Coherence,2
Arginine,2,C,Environmental Consistency,6
Arginine,2,C,Mechanistic Detail,5
Arginine,2,C,Network Completeness,4
Arginine,2,C,Prebiotic Plausibility,5
Arginine,2,C,Novelty of Reactions,3
Arginine,2,C,Total,29
Arginine,2,D,Chemical Feasibility,2
Arginine,2,D,Pathway Coherence,6
Arginine,2,D,Environmental Consistency,6
Arginine,2,D,Mechanistic Detail,4
Arginine,2,D,Network Completeness,7
Arginine,2,D,Prebiotic Plausibility,3
Arginine,2,D,Novelty of Reactions,6
Arginine,2,D,Total,34
Arginine,2,E,Chemical Feasibility,9
