Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,1,Config E,55/70,The only config to respect organic chemistry by using a rigorously correct iterative chain-elongation cycle (thiolysis/reduction/cyanation).
Arginine,1,2,Config A,38/70,"Combines two known literature pathways (Patel + Tsubokura), though it suffers from missing N-sources and input formatting errors."
Arginine,1,3,Config D,35/70,"Structurally complete and convergent, but ranked lower due to hallucinating a C3-to-C5 Strecker synthesis."
Arginine,1,4,Config F,32/70,Contains a fundamental impossibility (decarboxylating a C5 acid to get a C5 amino acid).
Arginine,1,5,Config B,30/70,"Highly flawed carbon accounting, magically generating C5/C6 molecules from C2 inputs in single steps."
Arginine,1,6,Config C,28/70,Contains a literally circular reaction (HCN -> HCN) and magical carbon creation.
Arginine,2,1,perfect_rag,51,Flawless chemical feasibility and mechanistic accuracy; the only config to maintain mass balance.
Arginine,2,2,ms_disc,34,"Structurally pristine network graph and creative literature integration, despite carbon-counting flaws."
Arginine,2,3,deep_research_gemini,31,"Features dual convergent pathways, though it suffers from impossible Strecker mass balances."
Arginine,2,4,deep_research_claude,29,Attempts to bridge environments but fails basic stoichiometry (creating HCN without nitrogen).
Arginine,2,5,deep_research_gpt5.4,29,Suffers from a graph-breaking self-loop (HCN → HCN) and missing N-sources.
Arginine,2,6,no_research,26,"Ignores mass balance entirely, mapping biological enzymes onto simple minerals without chemical logic."
Arginine,3,1,perfect_rag,52,"Flawless organic chemistry and mechanistic accuracy, replicating the Patel 2015 pathway perfectly (despite JSON declaration omissions)."
Arginine,3,2,deep_research_claude,43,"Features a fully functional, literature-backed ornithine guanylation pathway (P2), overcoming the stoichiometric errors in its first pathway."
Arginine,3,3,no_research,41,"Highly creative conceptual integration of vent and surface chemistry, though marred by basic carbon-math and reagent errors."
Arginine,3,4,deep_research_gemini,37,Attempts complex photoredox chemistry but fails basic carbon conservation (C2 + C1 ≠ C5).
Arginine,3,5,ms_disc,34,Fundamentally broken due to impossible C3 to C5 Strecker math and the use of unreactive free guanidine.
Arginine,3,6,deep_research_gpt5.4,32,Contains circular logic (HCN yielding HCN) and misses baseline feedstocks (NH₃) entirely.
Arginine,4,1,perfect_rag,60,Masterful execution of iterative carbon homologation with flawless stoichiometry and redox tracking.
Arginine,4,2,deep_research_claude,40,"Relies on structurally sound literature pathways, despite hallucinating an InChI and mislabeling an input."
Arginine,4,3,ms_disc,35,"Features a highly logical convergent network topology, though ruined by applying Strecker chemistry to the wrong precursor."
Arginine,4,4,deep_research_gemini,32,"Attempts photoredox cyanosulfidic chemistry but relies on impossible ""magic carbon"" jumps to complete the chain."
Arginine,4,5,no_research,25,"Gross failures in basic biochemical logic, synthesizing 5-carbon chains from 3-carbon precursors without carbon inputs."
Arginine,4,6,deep_research_gpt5.4,25,"Features null reactions (HCN → HCN) and disjointed, un-balanced chemistry throughout."
Arginine,5,1,perfect_rag,60,Mechanistic accuracy; correctly traces complex cyclic homologation without violating organic chemistry rules.
Arginine,5,2,deep_research_claude,28,"Fails on basic stoichiometry (HCN vs NH₃), but provides a slightly more complete surface sequence than B/F."
Arginine,5,3,deep_research_gemini,27,Suffers from impossible single-step synthesis claims (HCN + Acetylene $\rightarrow$ Ornithine).
Arginine,5,4,no_research,26,Condenses complex pathways (rTCA) into impossible single leaps and uses wrong nitrogen sources.
Arginine,5,5,ms_disc,23,Fundamental carbon skeleton mismatch (attempting Strecker on Pyruvate to get a linear C5 amino acid).
Arginine,5,6,deep_research_gpt5.4,21,Graph structure is fundamentally broken (self-loops) and misses almost all starting materials.
Glutamate,1,1,deep_research_gpt5.4,64/70,"Flawless integration of cutting-edge literature (DAP, Bucherer-Bergs) with strict stoichiometric accuracy."
Glutamate,1,2,perfect_rag,54/70,Highly accurate stepwise mapping of the non-enzymatic TCA cycle intermediate intermediates.
Glutamate,1,3,no_research,45/70,"Biologically elegant transamination topology, though reliant on difficult carbon-fixation steps."
Glutamate,1,4,ms_disc,42/70,"Competent core hydrothermal pathway, but suffers from using the wrong aldehyde precursor for glutamate."
Glutamate,1,5,deep_research_gemini,36/70,Severe stoichiometric errors (attempting to make a C5 molecule from C3 and C1 precursors).
Glutamate,1,6,deep_research_claude,23/70,Massive logical disconnects; written mechanisms frequently contradict the explicit input molecules.
Glutamate,2,1,no_research,54,The only config to successfully trace the entire synthesis from C1 starting materials to the C5 target without topological gaps.
Glutamate,2,2,deep_research_gpt5.4,46,"Features incredibly precise and novel downstream chemistry (DAP, Bucherer-Bergs) but fails to synthesize its own carbon backbones."
Glutamate,2,3,ms_disc,44,"Solid foundation in iron-sulfur chemistry, successfully synthesizing C3 precursors, but misses the origins for C2/C4 intermediates."
Glutamate,2,4,deep_research_gemini,41,"Ambitious integration of Sutherland chemistry, but plagued by stoichiometry errors and unexplained complex starting inputs."
Glutamate,2,5,perfect_rag,38,Accurately details specific iron-catalyzed steps but violates starting material constraints and is heavily fragmented.
Glutamate,2,6,deep_research_claude,30,"Suffers from severe AI ""hallucinations"" where text descriptions of mechanisms do not match the assigned chemical inputs and outputs."
Glutamate,3,1,deep_research_gpt5.4,65,"Flawless chemical accuracy, perfect carbon counting, and brilliant use of DAP/Bucherer-Bergs literature."
Glutamate,3,2,deep_research_gemini,49,"Strong use of systems chemistry literature, though held back by a C3-to-C5 Strecker carbon-counting error."
Glutamate,3,3,perfect_rag,46,"Exceptional mechanistic detail on iron-catalyzed pathways, but severely penalized for orphaned intermediates."
Glutamate,3,4,no_research,41,Attempts a full bottom-up synthesis but fails due to missing reducing equivalents in key reactions.
Glutamate,3,5,ms_disc,38,Suffers from a missing glyoxylate synthesis step and erroneous succinaldehyde-to-glutaronitrile chemistry.
Glutamate,3,6,deep_research_claude,19,Massive hallucination; stated inputs completely contradict the described mechanisms.
