Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,1,perfect_rag,61/70,Absolute stoichiometric perfection and flawless tracking of complex iterative homologations.
Arginine,1,2,deep_research_gpt5.4,57/70,"Brilliant systems-level integration of environmental cyanamide sources, despite a slight abstraction error."
Arginine,1,3,no_research,42/70,"Highly creative prebiotic urea-cycle analog, though penalized for stoichiometric errors in ornithine formation."
Arginine,1,4,deep_research_gemini,40/70,"Possesses accurate core chemistry, but ruined by logically broken and topologically impossible bypass routes."
Arginine,1,5,deep_research_claude,33/70,Marred by magical carbon-additions (C3 to C6 condensations) and impossible Strecker chemistry.
Arginine,1,6,ms_disc,24/70,"Fundamentally broken; proposes mathematically impossible transformations (e.g., C5 decarboxylation yielding C5)."
Arginine,2,1,perfect_rag,60,The only config with flawless carbon mass balance and exact mechanistic fidelity.
Arginine,2,2,deep_research_gpt5.4,50,"Excellent environmental systems design (urea/cyanamide), though it missed a homologation carbon."
Arginine,2,3,deep_research_gemini,45,"Good bypass network structure, but relied on ornithine as an undefined starting material."
Arginine,2,4,no_research,36,"Interesting biological mimicry, but ruined by fundamental misunderstandings of the Strecker reaction."
Arginine,2,5,deep_research_claude,34,Hallucinates literature results and features multiple chemically impossible steps.
Arginine,2,6,ms_disc,28,"Egregious organic chemistry errors (e.g., decarboxylation of a C5 molecule to yield a C5 molecule)."
Arginine,3,1,perfect_rag,66/70,Exceptional mechanistic rigor; perfectly traces the complex cyclic intermediates of verified cyanosulfidic homologation.
Arginine,3,2,deep_research_gemini,58/70,"Strong, coherent implementation of cyanosulfidic chemistry with added robustness via alternative bypass pathways."
Arginine,3,3,deep_research_gpt5.4,56/70,"Highly creative focus on atmospheric/mineral cyanamide generation, though it glosses over downstream mechanistic details."
Arginine,3,4,deep_research_claude,41/70,Integrates good surface chemistry with fatally flawed hydrothermal logic (impossible Strecker/condensation reactions).
Arginine,3,5,no_research,32/70,"Interesting proto-urea cycle ideas ruined by ""biological hindsight bias"" and chemically invalid amination steps."
Arginine,3,6,ms_disc,26/70,"Fundamentally misunderstands basic functional group chemistry, falsely claiming decarboxylation and Strecker reactions produce ornithine."
Arginine,4,1,perfect_rag,58/70,Unprecedented chemical accuracy; flawlessly mapped a 12-step photoredox cascade.
Arginine,4,2,deep_research_gemini,48/70,Good balance of literature-accurate chemistry and broad network redundancy.
Arginine,4,3,deep_research_gpt5.4,46/70,"Highly creative cyanamide sourcing, but suffered from a massive structural hallucination."
Arginine,4,4,no_research,38/70,"Conceptually interesting urea-cycle analogue, but thermodynamically and chemically flawed."
Arginine,4,5,ms_disc,30/70,Ruined by fundamental organic chemistry errors and mass balance violations.
Arginine,4,6,deep_research_claude,26/70,"Contained physically impossible ""alchemy"" (converting a 3C molecule to 6C out of nowhere)."
Arginine,5,1,deep_research_gemini,63,Flawless carbon tracking and mechanistic accuracy for the most complex known prebiotic pathway.
Arginine,5,2,deep_research_gpt5.4,43,"Excellent sub-networks for reagent generation, though it skips the hardest steps of the backbone synthesis."
