Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,1,perfect_rag,66,Flawless execution of the highly complex cyanosulfidic mechanism; brilliant internal network recycling.
Arginine,1,2,deep_research_gemini,45,Included highly creative and accurate amyloid-templated post-translational guanidinylation.
Arginine,1,3,deep_research_claude,44,"Good macro-level integration of paradigms, though it botched the specific Patel 2015 mechanisms."
Arginine,1,4,deep_research_gpt5.4,34,Mechanistically confused regarding nitrile/aldehyde oxidation states and Kiliani-Fischer homologation.
Arginine,1,5,ms_disc,33,"Relied on impossible functional group transformations (e.g., decarboxylation of glutamate to ornithine)."
Arginine,1,6,no_research,18,Chemically invalid; proposed that peptide bonds can magically create the alkyl side-chain of ornithine.
Arginine,2,1,perfect_rag,65/70,"Flawless carbon counting, stoichiometry, and mechanistic accuracy tracking C3 $\rightarrow$ C5 homologation."
Arginine,2,2,deep_research_claude,36/70,"Good structural network, but misses a vital carbon-homologation step, resulting in a C4 backbone."
Arginine,2,3,deep_research_gpt5.4,33/70,"Similar to A, features a coherent topology but relies on chemically impossible functional group transformations."
Arginine,2,4,deep_research_gemini,28/70,Fails fundamental organic chemistry (hydrolyzing nitriles to aldehydes) and uses anachronistic amyloid templating.
Arginine,2,5,ms_disc,27/70,Proposes that decarboxylating a 5-carbon molecule yields a different 5-carbon molecule.
Arginine,2,6,no_research,23/70,Chemically incoherent; confuses amide bond formation with continuous carbon-chain synthesis.
Arginine,3,1,Config A,50/70,Accurately identifies limits of bottom-up chemistry and correctly pivots to cyanamide-driven ornithine guanylation.
Arginine,3,2,Config D,47/70,"Builds a complete, coherent C5 backbone (ornithine), though it selects an inert reagent (guanidine) for the final step."
Arginine,3,3,Config B,43/70,"Introduces brilliant, highly novel amyloid-templated chemistry, but forgets to provide a synthesis step for ornithine itself."
Arginine,3,4,Config E,42/70,"Spectacularly detailed and authoritative, but severely penalized for hallucinating a chemically impossible carbon-addition step to fix the target."
Arginine,3,5,Config C,39/70,Broad but chemically flawed; misunderstands carbon-chain homologation stoichiometry.
Arginine,3,6,Config F,27/70,Chemically nonsensical; hallucinates metabolic steps that violate basic organic chemistry rules.
Arginine,4,1,perfect_rag,67/70,"Flawless, step-by-step reconstruction of the exact cyanosulfidic homologation pathway, featuring accurate ring-closures, thioamide reductions, and cyanohydrin replacements."
Arginine,4,2,deep_research_claude,50/70,"A broad, resilient network that successfully balances cyanosulfidic chemistry with direct ornithine guanylation, despite some mechanistic vagueness."
Arginine,4,3,deep_research_gemini,47/70,"Introduced the highly plausible concept of amyloid-templated post-synthetic guanidinylation, but suffered from a fatal redox error regarding nitrile hydrolysis."
Arginine,4,4,deep_research_gpt5.4,38/70,"Attempted to force modern biology into a prebiotic setting, resulting in impossible single-step reductions of carboxylates to aldehydes without activation."
Arginine,4,5,ms_disc,33/70,Failed basic carbon counting (claiming a C5 molecule decarboxylates into another C5 molecule) and utilized thermodynamically poor reagents.
Arginine,4,6,no_research,20/70,"Completely hallucinated organic chemistry, misidentifying standard transamination products and biological cleavage mechanisms."
Arginine,5,1,perfect_rag,64/70,"Flawless, exact replication of the complex 10-step Patel et al. 2015 cyanosulfidic synthesis."
Arginine,5,2,deep_research_gemini,55/70,Brilliantly incorporates amyloid-templated post-synthetic guanidinylation (Long et al. 2020).
Arginine,5,3,deep_research_claude,45/70,"Broad and ambitious, but misses the crucial H₂S components of the pathway it attempts to cite."
Arginine,5,4,deep_research_gpt5.4,39/70,Well-structured but features a critical error involving cyanamide and citrulline.
Arginine,5,5,ms_disc,37/70,Relies heavily on magical one-step Strecker reactions and an inert guanylating agent (guanidine).
Arginine,5,6,no_research,27/70,"Plagued by impossible organic chemistry (e.g., 1-step transamination of α-KG to ornithine)."
Glutamate,1,1,perfect_rag,67,Flawless carbon stoichiometry and perfect mechanistic mapping of complex experimental literature.
Glutamate,1,2,deep_research_gpt5.4,65,"Incredibly dense integration of state-of-the-art, novel catalytic pathways (DAP, FeS_PERM, photoredox)."
Glutamate,1,3,deep_research_claude,54,"A solid, conventional literature-based network, marred only by a single carbon math error in one branch."
Glutamate,1,4,deep_research_gemini,50,"Good architecture, but inclusion of the advanced biological molecule NADH ruins strict prebiotic plausibility."
Glutamate,1,5,ms_disc,39,Suffers from significant stoichiometric errors in its Strecker route and thermodynamic issues with thioesters.
Glutamate,1,6,no_research,24,"Fails fundamentally due to widespread, severe carbon counting errors (e.g., 3C + 2C = 4C)."
Glutamate,2,1,perfect_rag,66/70,Flawless carbon stoichiometry and masterful integration of complex aldol/decarboxylation literature.
Glutamate,2,2,deep_research_claude,62/70,Exceptionally comprehensive and handles the complex Michael+Strecker cyanosulfidic math correctly.
Glutamate,2,3,deep_research_gpt5.4,57/70,"Brilliant use of DAP and decarboxylative Bucherer-Bergs, held back only by a cyanohydrin hydrolysis error."
Glutamate,2,4,deep_research_gemini,47/70,Good macro-structure but suffers from oxidation state errors and the anachronistic use of intact NADH.
Glutamate,2,5,ms_disc,36/70,"Severe stoichiometric hallucinations (e.g., C2+C1+C1 = C5)."
Glutamate,2,6,no_research,27/70,"Complete disregard for the conservation of mass and structural carbon math (e.g., C3+C2 = C4)."
Glutamate,3,1,deep_research_gpt5.4,66/70,"Unmatched literature precision; handles complex intermediate cascades (phosphoro-Strecker, decarboxylative Bucherer-Bergs) flawlessly."
Glutamate,3,2,perfect_rag,63/70,Superb step-by-step mechanistic deconstruction of the iron-catalyzed proto-TCA cycle.
Glutamate,3,3,deep_research_claude,62/70,"A highly robust, comprehensive network utilizing the most recent 2024 literature, slightly less granular than C and E."
Glutamate,3,4,deep_research_gemini,52/70,"Solid cyanosulfidic network, but marred by the anachronistic use of NADH in a prebiotic setting."
Glutamate,3,5,ms_disc,44/70,Contains a core mass-balance error in a Strecker reaction (C2+C1+C1 attempting to yield C5) and artifactual citations.
Glutamate,3,6,no_research,37/70,"Fundamentally broken by multiple carbon-counting errors (e.g., C3 + C2 = C4) in its foundational aldol reactions."
Glutamate,4,1,perfect_rag,66/70,"Flawless carbon stoichiometry (C3+C2=C5, C6-C1=C5) mapping non-enzymatic Krebs analogs perfectly."
Glutamate,4,2,deep_research_gpt5.4,61/70,Deep chemical insight utilizing $\alpha$-carboxy decarboxylation and phosphoro-Strecker chemistry on C4 aldehydes.
Glutamate,4,3,deep_research_claude,57/70,"Highly comprehensive and redundant literature compilation, with only one minor C-C coupling error."
Glutamate,4,4,ms_disc,40/70,Conceptually strong but derailed by functional group errors (aminating an aldehyde to claim a carboxylic acid).
Glutamate,4,5,deep_research_gemini,36/70,Contains basic addition errors (C2+C2=C3) and relies on the highly anachronistic coenzyme NADH.
Glutamate,4,6,no_research,25/70,"Completely invalidated by persistent, fatal mass balance and carbon-counting violations."
Glutamate,5,1,perfect_rag,68/70,Flawless carbon math; exquisitely detailed step-by-step carbon-building intermediates.
Glutamate,5,2,deep_research_gpt5.4,63/70,"Outstanding modern literature integration (DAP, FeS_PERM) and perfect C5 amination chemistry."
Glutamate,5,3,deep_research_claude,53/70,"Good baseline network, but condenses multi-step reactions, hiding carbon mass balance gaps."
Glutamate,5,4,deep_research_gemini,49/70,"Features the realistic pyroglutamate sink, but suffers from stoichiometry errors and anachronistic coenzymes."
Glutamate,5,5,ms_disc,36/70,"Suffers from fatal chemical logic errors (e.g., decarboxylation resulting in carbon chain growth)."
Glutamate,5,6,no_research,25/70,Complete failure of basic chemical stoichiometry (C3 + C2 = C4).
Glycine,1,1,deep_research_claude,61/70,Flawless stoichiometry combined with accurate integration of modern literature.
Glycine,1,2,perfect_rag,52/70,"Highly creative use of amino acid degradation/recycling, despite minor mechanistic errors."
Glycine,1,3,deep_research_gemini,47/70,Good conceptual framework but hampered by carbon-balance errors in the cyanosulfidic route.
Glycine,1,4,deep_research_gpt5.4,39/70,Moderate to severe mass balance errors (forming nitrogenous products without nitrogen inputs).
Glycine,1,5,ms_disc,28/70,"Severe stoichiometric impossibilities, including synthesizing glycine from just methane and CO₂."
Glycine,1,6,no_research,20/70,Complete disregard for elemental mass conservation across almost all reactions.
Glycine,2,1,deep_research_claude,67/70,"Perfect mass balance, flawless mechanisms, and deep integration of established & recent literature."
Glycine,2,2,deep_research_gpt5.4,58/70,"Highly novel, featuring cutting-edge computational pathways (radical ice chemistry, forsterite coupling), with only one mass balance error."
Glycine,2,3,deep_research_gemini,49/70,"Creative use of ISM and atmospheric chemistry, but suffers from kinetically prohibitive organic mechanisms (unactivated SN2 on hydroxyls)."
Glycine,2,4,perfect_rag,34/70,Fundamentally misunderstands named organic reactions (claims Cannizzaro forms C-C bonds; claims hydrolysis cleaves C-C bonds).
Glycine,2,5,ms_disc,33/70,"Riddled with ""magic"" chemistry, creating nitrogenous compounds without nitrogen inputs and reducing C3 acids into C2 amino acids."
Glycine,2,6,no_research,26/70,"Egregious mass balance violations (e.g., C2 + 0C $\rightarrow$ C2 + C2). Completely ignores the laws of conservation of mass."
Glycine,3,1,Config A,61/70,"Impeccable stoichiometry, rigorous use of literature, and perfect mass balance."
Glycine,3,2,Config C,59/70,"Highly novel, chemically sound integration of computational and ice-chemistry routes."
Glycine,3,3,Config B,40/70,"Broad scope, but suffers from kinetically unfeasible reactions and C2/C3 mismatching."
Glycine,3,4,Config E,39/70,"Interesting top-down degradation focus, but marred by nonexistent Cannizzaro/peracetic chemistry."
Glycine,3,5,Config D,30/70,Severe chemical errors (using C3 precursors to reductively aminate into C2 targets).
Glycine,3,6,Config F,11/70,Catastrophic stoichiometric failures violating the conservation of mass.
Glycine,4,1,deep_research_claude,61/70,The only network to successfully and accurately build all its complex intermediates strictly from the allowed simple C1 feedstocks.
Glycine,4,2,deep_research_gemini,48/70,"Features highly novel pathways and excellent literature usage, but forgets to synthesize its own C2 intermediate hubs."
Glycine,4,3,deep_research_gpt5.4,47/70,"Brilliant use of cutting-edge computational chemistry, but severely disjointed; acts as a list of final steps rather than a connected network."
Glycine,4,4,ms_disc,42/70,"Employs anachronistic biochemical logic, requiring pre-existing complex amino acids (serine) to make the simplest one."
Glycine,4,5,perfect_rag,34/70,"Fails the core premise by presenting a ""top-down"" degradation network rather than a ""bottom-up"" synthesis from simple materials."
