Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,1,no_research,68/70,"Flawless carbon-counting, brilliant Strecker/metabolic hybridization, and use of the W\u00f6hler synthesis."
Arginine,1,2,perfect_rag,65/70,Textbook-perfect reproduction of complex cyanosulfidic heterocycle mechanisms.
Arginine,1,3,ms_disc,62/70,"Highly creative phosphate-activation strategies (phosphoguanidine, acyl-phosphates) to overcome thermodynamic hurdles."
Arginine,1,4,deep_research_gemini,55/70,"Good structural mapping of cyanosulfidic variants, but held back by minor upstream redox omissions."
Arginine,1,5,deep_research_gpt5.4,42/70,"Fatal C-counting error (C3 aldehyde + Strecker = C4, not C5 ornithine)."
Arginine,1,6,deep_research_claude,40/70,"Relies on hand-waving ""proxies"" to jump from C1 to C5, bypassing actual chemical synthesis."
Arginine,2,1,ms_disc,62/70,"Brilliant theoretical design; solves thermodynamic bottlenecks via phosphate-activation (phosphoguanidine, acyl-phosphates)."
Arginine,2,2,perfect_rag,61/70,Mechanistically flawless; perfectly executes the complex carbon-chain homologation steps of the cyanosulfidic pathway.
Arginine,2,3,no_research,56/70,"Highly creative succinic-semialdehyde bypass for glutamate, but penalized for omitting an HCN generation step."
Arginine,2,4,deep_research_gemini,54/70,"A solid, abbreviated version of the cyanosulfidic pathway that avoids the carbon-counting errors of A and C."
Arginine,2,5,deep_research_gpt5.4,38/70,Fails chemical feasibility due to a C3 + C1 = C5 mathematical impossibility in its Strecker synthesis step.
Arginine,2,6,deep_research_claude,36/70,Suffers from the same fatal carbon-counting error as C and misinterprets the primary literature it cites.
Arginine,3,1,no_research,66/70,"Brilliant chemical workarounds (succinic semialdehyde Strecker, Wöhler cyanamide) to bypass standard thermodynamic bottlenecks."
Arginine,3,2,deep_research_gemini,63/70,"Superb cyanosulfidic integration, explicitly catching the crucial ""hemiaminal 37"" thermodynamic trap."
Arginine,3,3,perfect_rag,62/70,Unmatched mechanistic accuracy and breakdown of the complex pyrimidine cyclization variants.
Arginine,3,4,ms_disc,60/70,Highly creative use of phosphate-activation (phosphoguanidine) to mimic biological energy coupling.
Arginine,3,5,deep_research_claude,58/70,Solid baseline network featuring an elegant post-synthetic clay concentration step to solve the low-yield problem.
Arginine,3,6,deep_research_gpt5.4,42/70,Fatally flawed by a basic carbon-counting error in the Strecker synthesis step.
Arginine,4,1,no_research,62/70,Brilliant original pathway (succinic semialdehyde Strecker) and elegant thermodynamic solutions.
Arginine,4,2,perfect_rag,58/70,"Flawless transcription of the most robust experimental literature, though lacking original novelty."
Arginine,4,3,ms_disc,51/70,"Highly creative use of phosphagens (phosphoguanidine), held back by a UV/H$_2$S redox contradiction."
Arginine,4,4,deep_research_gemini,35/70,Obscures network viability by heavily lumping multi-step sequences and contains a formaldehyde redox error.
Arginine,4,5,deep_research_gpt5.4,31/70,Contains a fatal carbon-math error (C3 + Strecker = C5) that invalidates the ornithine synthesis branch.
Arginine,4,6,deep_research_claude,29/70,"Fatally flawed by attempting to use a C1 molecule as a direct ""proxy"" to output a C5 molecule."
Arginine,5,1,deep_research_claude,61/70,Flawless chemical accuracy and the most faithful representation of primary cyanosulfidic literature.
Arginine,5,2,ms_disc,59/70,Highly innovative use of phosphate activation to solve thermodynamic barriers; structurally coherent.
Arginine,5,3,no_research,56/70,"Brilliant Strecker bypass and exact rTCA chemistry, held back only by a redox error in cyanate formation."
Arginine,5,4,deep_research_gemini,48/70,Functionally decent but suffers from a redox mismatch in formamide synthesis and messy homologation chemistry.
Arginine,5,5,perfect_rag,38/70,"Scrambles the cyanosulfidic reaction order, resulting in an impossible mechanism that misses the target carbon count."
Arginine,5,6,deep_research_gpt5.4,37/70,A fatal carbon-counting error in its central Strecker synthesis breaks the entire ornithine backbone route.
Glutamate,1,1,deep_research_claude,68/70,Explicitly solved the $\alpha$-KG kinetic amination bottleneck (Mayer & Moran paradox) using 2024 literature.
Glutamate,1,2,deep_research_gpt5.4,67/70,Elegant systems-chemistry approach utilizing cyanohydrin storage traps and the Bucherer-Bergs hydantoin pathway.
Glutamate,1,3,deep_research_gemini,65/70,Brilliant inclusion of the pyroglutamate thermal reservoir to solve hydrothermal degradation issues.
Glutamate,1,4,no_research,63/70,"Highly rigorous mechanistic breakdowns, particularly regarding Cu²⁺ transamination and sequential aldol processing."
Glutamate,1,5,ms_disc,59/70,"Good integration of malonate chemistry, but struggled slightly with the feasibility of dicarboxylic acid reduction."
Glutamate,1,6,perfect_rag,56/70,"Solid, but relied too heavily on the top-down decomposition of complex molecules rather than bottom-up assembly."
Glutamate,2,1,deep_research_claude,64/70,"Deepest literature integration; explicitly identifies and solves the ""reactivity paradox"" of $\alpha$-KG amination."
Glutamate,2,2,deep_research_gemini,63/70,Brilliantly incorporates the pyroglutamate thermal reservoir cycle to solve hydrothermal degradation issues.
Glutamate,2,3,no_research,63/70,Exceptionally rigorous mechanisms; uses photochemistry to solve traditionally impossible thermal reductions.
Glutamate,2,4,deep_research_gpt5.4,60/70,"Highly creative use of cyanohydrin traps, DAP, and Bucherer-Bergs hydantoin chemistry."
Glutamate,2,5,ms_disc,57/70,"A solid, functional, textbook prebiotic network, but lacks the cutting-edge innovations of the top four."
Glutamate,2,6,perfect_rag,43/70,"Suffers from severe network incompleteness by starting from complex ""orphan"" intermediates."
Glutamate,3,1,no_research,69,Solves the succinate $\to$ aldehyde thermodynamic bottleneck via photochemistry; flawless mechanistic detail.
Glutamate,3,2,deep_research_claude,65,Exceptional integration of cutting-edge 2024 literature; comprehensive redundancy for amination.
Glutamate,3,3,deep_research_gpt5.4,64,"Brilliant use of complex systems chemistry (cyanohydrin kinetic traps, Bucherer-Bergs hydantoins)."
Glutamate,3,4,deep_research_gemini,64,Introduction of the highly realistic pyroglutamate hydrothermal thermal reservoir cycle.
Glutamate,3,5,ms_disc,60,"Good inclusion of the HKG cycle, but repeats standard thermodynamic errors regarding direct carboxylate reduction."
Glutamate,3,6,perfect_rag,59,Accurate local mechanisms but lacks the deep upstream C1 $\to$ C3 completeness of the others.
Glutamate,4,1,no_research,67/70,Solves difficult thermodynamic bottlenecks (succinate $\rightarrow$ aldehyde) using plausible photochemistry; features a brilliant prebiotic citrate pathway.
Glutamate,4,2,deep_research_gemini,66/70,Introduces the pyroglutamate thermal reservoir to solve high-temperature instability; uses rigorous thioester activation for carbon fixation.
Glutamate,4,3,deep_research_gpt5.4,64/70,Introduces highly stable Bucherer-Bergs hydantoin chemistry and cyanohydrin kinetic traps to bypass pH and stability limitations.
