Molecule,Run,Rank,Config,Total Score,Key Differentiator
Arginine,1,**1**,deep_research_gemini,62/70,Brilliantly synthesizes the two leading theories: cyanosulfidic synthesis and peptide-first guanidination.
Arginine,1,**2**,perfect_rag,61/70,"A masterclass in mechanistic detail, perfectly capturing the nuanced side-reactions of the Patel pathway."
Arginine,1,**3**,deep_research_claude,53/70,"A solid, honest, review-style network that clearly outlines what is proven vs. what is assumed."
Arginine,1,**4**,deep_research_gpt5.4,52/70,"A reliable, chemically sound, but highly linear transcription of a single literature pathway."
Arginine,1,**5**,no_research,43/70,Creative but chemically flawed attempt to run the biological urea cycle without enzymes.
Arginine,1,**6**,ms_disc,37/70,"Overly speculative network relying on ""magic leaps"" for carbon expansion and amination."
Arginine,2,1,deep_research_gemini,65/70,"Perfectly balances deep mechanistic rigor (Patel route) with highly creative, prebiotically relevant systems integration (Longo peptide route)."
Arginine,2,2,perfect_rag,63/70,"Unmatched, flawless chemical resolution of the cyanosulfidic pathway and its micro-variants, though slightly one-dimensional."
Arginine,2,3,deep_research_claude,60/70,"An excellent, honest overview of the field that integrates multiple distinct literature branches effectively."
Arginine,2,4,deep_research_gpt5.4,56/70,"A solid, accurate representation of the cyanosulfidic route, but lacks the granular depth of B/E and the breadth of A."
Arginine,2,5,ms_disc,36/70,"Relies on speculative ""black box"" chemistry to bridge structural gaps, ignoring established experimental pathways."
Arginine,2,6,no_research,33/70,"Anachronistic. Fails by attempting to run the highly complex, enzyme-dependent biological urea cycle abiotically."
Arginine,3,1,deep_research_gemini,68,Masterful integration of both the Patel *de novo* route and Longo peptide-modification route with exact intermediates (hemiaminal 37).
Arginine,3,2,perfect_rag,64,"Provides extreme, unparalleled mechanistic depth on the Patel cyanosulfidic cyclization and ring-opening variants."
Arginine,3,3,deep_research_claude,62,"A robust, well-rounded literature review that uniquely incorporates rare supercritical CO2 synthesis data."
Arginine,3,4,deep_research_gpt5.4,56,"A solid, functional, but standard and somewhat compressed representation of the cyanosulfidic pathway."
Arginine,3,5,no_research,55,"Highly speculative, but earns massive points for the brilliant conceptual leap of a cyanamide-activated prebiotic urea cycle."
Arginine,3,6,ms_disc,41,"Ignores established literature to force an energetically broken, non-enzymatic carbon expansion from C3 to C5."
